Tipo de actividad,Fecha,Favorito,Título,Distancia,Calorías,Tiempo,Frecuencia cardiaca media,FC máxima,TE aeróbico,Cadencia de carrera media,Cadencia de carrera máxima,Ritmo medio,Ritmo óptimo,Ascenso total,Descenso total,Longitud media de zancada,Relación vertical media,Oscilación vertical media,Tiempo medio de contacto con el suelo,Equilibrio medio de tiempo de contacto con el suelo,Training Stress Score®,Pasos,Repeticiones totales,Series totales,Temperatura mínima,Descompresión,Mejor tiempo de vuelta,Número de vueltas,Temperatura máxima,Tiempo en movimiento,Tiempo transcurrido,Altura mínima,Altura máxima
Carrera,2026-04-10 18:42:37,false,"Vitacura Carrera","2.00","142","00:11:25","132","142","2.0","156","161","5:43","5:13","2","10","1.10","11.3","12.7","276","50.0 % izquierda / 50.0 % derecha","0.0","1,764","--","--","20.0","No","00:05:25.1","2","27.0","00:11:25","00:11:25","683","694"
Carrera,2026-04-09 18:49:56,false,"Vitacura - ICCUS 8K","7.68","576","00:43:48","143","158","3.2","153","159","5:42","4:56","34","56","1.15","11.1","13.0","282","50.2 % izquierda / 49.8 % derecha","0.0","6,648","--","--","22.0","No","00:04:09.6","8","28.0","00:43:06","00:47:55","663","692"
Carrera,2026-04-07 19:08:32,false,"Vitacura - ICCUS 5x400+3000+2000","8.15","600","00:42:23","154","173","3.7","150","168","5:12","3:57","75","38","1.25","9.5","11.9","274","50.5 % izquierda / 49.5 % derecha","0.0","6,240","--","--","22.0","No","00:00:02.2","18","26.0","00:42:04","00:43:41","672","743"
Carrera,2026-04-07 18:47:45,false,"Vitacura Carrera","2.30","161","00:13:32","126","139","1.9","154","160","5:53","5:24","2","12","1.09","11.4","12.5","283","49.8 % izquierda / 50.2 % derecha","0.0","2,060","--","--","25.0","No","00:01:44.0","3","29.0","00:13:23","00:18:32","671","691"
Carrera,2026-04-06 21:06:19,false,"Vitacura Carrera","2.24","176","00:13:53","137","143","2.1","152","198","6:12","4:23","42","--","1.06","--","--","--","--","0.0","2,106","--","--","22.0","No","00:01:32.9","3","28.0","00:13:45","00:14:03","670","713"
Carrera,2026-04-06 19:38:37,false,"Vitacura - ICCUS 25min RG","2.05","143","00:12:25","122","132","1.9","149","158","6:03","5:22","--","13","1.11","--","--","--","--","0.0","1,872","--","--","24.0","No","00:00:18.2","3","29.0","00:12:05","00:13:18","565","578"
Carrera,2026-04-04 07:53:45,false,"Machalí - ICCUS 28k","27.72","2,017","02:27:56","152","165","5.0","157","167","5:20","4:42","114","101","1.19","10.2","12.4","271","50.4 % izquierda / 49.6 % derecha","0.0","23,074","--","--","14.0","No","00:00:02.0","33","30.0","02:27:25","02:33:29","508","600"
Carrera,2026-04-04 07:45:10,false,"Machalí - ICCUS 28k","1.11","79","00:06:25.4","131","141","1.3","154","163","5:46","5:17","--","12","1.14","10.1","11.8","265","50.1 % izquierda / 49.9 % derecha","0.0","960","--","--","22.0","No","00:00:23.7","3","24.0","00:06:20.7","00:06:26.2","588","601"
Carrera,2026-04-03 11:39:08,false,"Machalí - ICCUS 6K recovery","6.06","459","00:35:04","142","156","3.0","154","164","5:47","5:01","42","36","1.12","11.1","12.6","274","50.3 % izquierda / 49.7 % derecha","0.0","5,414","--","--","24.0","No","00:00:21.3","7","30.0","00:34:57","00:35:04","577","617"
Carrera,2026-04-02 18:35:16,false,"Vitacura - ICCUS 5X400+3000+1000","7.98","600","00:43:53","150","172","3.5","149","213","5:30","3:47","43","34","1.20","10.1","12.1","297","50.6 % izquierda / 49.4 % derecha","0.0","6,428","--","--","26.0","No","00:01:00","15","31.0","00:42:56","00:48:19","672","699"
Carrera,2026-03-31 20:18:34,false,"Vitacura Carrera","0.57","43","00:04:06.6","130","140","0.5","155","160","7:14","6:59","9","--","0.86","12.7","11.0","299","50.5 % izquierda / 49.5 % derecha","0.0","624","--","--","27.0","No","00:04:06.6","1","28.0","00:04:06","00:04:06.6","663","672"
Carrera,2026-03-31 19:59:00,false,"Vitacura Carrera","1.55","118","00:08:40.9","146","156","2.1","157","162","5:37","4:54","9","1","1.13","10.6","12.0","278","50.8 % izquierda / 49.2 % derecha","0.0","1,348","--","--","26.0","No","00:03:09.4","2","29.0","00:08:39","00:08:40.9","663","673"
Carrera,2026-03-31 19:35:53,false,"Vitacura Carrera","3.06","242","00:18:43","146","173","2.6","137","171","6:06","3:47","25","22","1.14","8.8","9.9","264","50.6 % izquierda / 49.4 % derecha","0.0","2,494","--","--","26.0","No","00:00:59.5","12","28.0","00:18:36","00:18:43","664","690"
Carrera,2026-03-31 19:19:52,false,"Vitacura Carrera","0.67","47","00:04:14.5","120","131","0.9","152","159","6:22","5:03","1","2","1.02","11.2","11.3","293","49.4 % izquierda / 50.6 % derecha","0.0","640","--","--","29.0","No","00:04:14.5","1","30.0","00:04:06","00:04:18.7","667","670"
Carrera,2026-03-29 07:31:01,true,"Medio Maratón de Viña del Mar 2026","21.09","1,500","01:38:11","163","176","5.0","162","170","4:39","3:48","82","79","1.33","8.9","12.2","255","50.8 % izquierda / 49.2 % derecha","0.0","15,726","--","--","15.0","No","00:00:20.3","22","20.0","01:38:04","01:38:11","6","23"
Carrera,2026-03-29 07:03:45,false,"Viña del Mar Carrera","2.51","201","00:15:32","141","156","2.3","157","165","6:11","5:15","9","16","1.04","11.2","11.6","272","49.8 % izquierda / 50.2 % derecha","0.0","2,426","--","--","16.0","No","00:03:51.8","3","20.0","00:15:23","00:15:32","15","20"
Carrera,2026-03-28 09:04:35,false,"Viña del Mar Carrera","5.16","389","00:29:30","142","157","3.0","156","161","5:43","5:22","29","23","1.12","10.9","12.5","274","50.2 % izquierda / 49.8 % derecha","0.0","4,570","--","--","17.0","No","00:00:52.3","6","23.0","00:29:22","00:29:30","6","22"
Carrera,2026-03-27 08:08:02,false,"Vitacura - ICCUS 30min RG","4.86","359","00:28:14","138","153","2.7","154","161","5:48","5:25","45","45","1.11","11.5","13.0","283","50.1 % izquierda / 49.9 % derecha","0.0","4,310","--","--","17.0","No","00:04:47.2","5","23.0","00:28:10","00:28:14","671","715"
Carrera,2026-03-26 08:33:31,false,"Vitacura - ICCUS 2K + 5K","7.00","528","00:39:14","147","158","3.2","158","166","5:36","5:04","58","65","1.13","10.8","12.5","271","50.8 % izquierda / 49.2 % derecha","0.0","6,128","--","--","18.0","No","00:00:00.9","8","22.0","00:39:02","00:39:14","665","730"
Carrera,2026-03-24 20:01:59,false,"Vitacura Carrera","1.63","126","00:09:24.3","150","163","2.1","158","164","5:47","4:58","14","5","1.08","10.4","11.5","281","50.7 % izquierda / 49.3 % derecha","0.0","1,470","--","--","24.0","No","00:03:46.5","2","26.0","00:09:06.5","00:18:48","660","673"
Carrera,2026-03-24 19:59:51,false,"Vitacura - ICCUS 2x3000","6.07","457","00:29:38","167","179","3.8","155","167","4:53","4:12","43","43","1.33","8.9","12.1","270","50.9 % izquierda / 49.1 % derecha","0.0","4,512","--","--","22.0","No","00:00:00.8","9","25.0","00:29:23","00:29:38","646","691"
Carrera,2026-03-24 19:16:04,false,"Vitacura Carrera","0.58","44","00:03:45.0","132","145","0.7","150","159","6:27","5:32","2","4","1.04","11.3","11.9","287","49.9 % izquierda / 50.1 % derecha","0.0","566","--","--","26.0","No","00:03:45.0","1","26.0","00:03:28","00:04:17.3","665","669"
Carrera,2026-03-24 18:49:25,false,"Vitacura Carrera","2.08","149","00:11:41","136","150","2.1","155","160","5:36","5:04","2","13","1.14","11.1","12.6","285","50.3 % izquierda / 49.7 % derecha","0.0","1,774","--","--","25.0","No","00:00:28.4","3","29.0","00:11:40","00:12:24","676","691"
Carrera,2026-03-22 09:27:11,false,"Vitacura - ICCUS 35min RG","5.17","389","00:30:18","140","152","2.8","157","163","5:52","5:24","18","20","1.08","11.0","12.1","274","50.1 % izquierda / 49.9 % derecha","0.0","4,816","--","--","19.0","No","00:00:58.1","6","27.0","00:30:08","00:30:32","678","694"
Carrera,2026-03-21 08:21:28,false,"Vitacura - ICCUS 14K R1 R2","16.63","1,246","01:27:55","157","172","5.0","160","169","5:17","4:41","106","110","1.18","9.9","11.9","266","51.0 % izquierda / 49.0 % derecha","0.0","13,916","--","--","19.0","No","00:00:02.1","18","26.0","01:27:50","01:28:02","667","714"
Carrera,2026-03-19 08:42:09,false,"Vitacura - ICCUS 2k+6k","8.01","610","00:45:21","150","164","3.3","154","161","5:40","4:18","72","75","1.14","11.0","12.8","276","50.3 % izquierda / 49.7 % derecha","0.0","6,940","--","--","19.0","No","00:00:03.3","9","26.0","00:45:13","00:45:21","672","742"
Carrera,2026-03-17 20:20:20,false,"Vitacura Carrera","2.19","176","00:13:30","150","160","2.3","154","163","6:11","4:50","30","1","1.03","11.1","11.3","288","50.0 % izquierda / 50.0 % derecha","0.0","2,060","--","--","25.0","No","00:01:05.8","3","28.0","00:13:22","00:17:40","661","686"
Carrera,2026-03-17 19:34:09,false,"Vitacura - ICCUS 3x2000","6.32","489","00:31:41","168","180","3.9","154","167","5:00","4:18","50","43","1.28","8.9","11.6","272","51.1 % izquierda / 48.9 % derecha","0.0","4,806","--","--","25.0","No","00:00:01.2","9","27.0","00:31:37","00:32:21","653","683"
Carrera,2026-03-17 19:15:15,false,"Vitacura Carrera","0.58","42","00:03:50.0","124","143","0.7","152","207","6:40","3:58","3","2","0.99","11.8","11.9","290","49.1 % izquierda / 50.9 % derecha","0.0","582","--","--","28.0","No","00:03:50.0","1","29.0","00:03:42","00:05:20.4","665","670"
Carrera,2026-03-17 18:46:19,false,"Vitacura Carrera","2.12","154","00:11:52","136","151","2.2","155","160","5:36","5:01","2","14","1.14","11.0","12.6","279","49.9 % izquierda / 50.1 % derecha","0.0","1,822","--","--","27.0","No","00:00:37.6","3","30.0","00:11:45","00:12:25","678","691"
Carrera,2026-03-14 07:56:48,false,"Vitacura - ICCUS 20K","20.90","1,522","01:50:53","151","165","4.7","161","174","5:18","4:40","115","107","1.17","9.8","11.7","264","50.9 % izquierda / 49.1 % derecha","0.0","17,652","--","--","19.0","No","00:00:06.1","22","26.0","01:50:28","02:00:01","648","709"
Carrera,2026-03-13 08:36:35,false,"Vitacura - ICCUS 35min RG","5.98","450","00:35:03","143","155","2.9","155","163","5:51","5:23","52","45","1.10","11.2","12.4","280","50.2 % izquierda / 49.8 % derecha","0.0","5,368","--","--","22.0","No","00:00:02.9","7","27.0","00:34:48","00:35:13","672","722"
Carrera,2026-03-12 08:33:45,false,"Vitacura - ICCUS 3K + 6K","9.01","679","00:50:28","149","160","3.5","155","159","5:36","5:03","80","79","1.14","11.0","12.8","278","50.3 % izquierda / 49.7 % derecha","0.0","7,718","--","--","22.0","No","00:00:02.5","10","28.0","00:50:11","00:50:28","672","751"
Carrera,2026-03-10 08:47:17,false,"Vitacura - ICCUS 1x2500 + 4x1200","9.49","721","00:51:24","156","177","4.0","153","209","5:25","4:09","68","70","1.19","10.1","12.1","269","50.3 % izquierda / 49.7 % derecha","0.0","7,722","--","--","23.0","No","00:00:20.8","18","26.0","00:51:03","00:53:06","650","715"
Entreno de fuerza,2026-03-08 17:47:18,false,"Fuerza","0.00","341","00:52:35","106","141","1.1","--","--","--","--","--","--","--","--","--","--","--","0.0","510","255","12","28.0","No","00:52:35","1","33.0","00:31:30","00:58:21","--","--"
Carrera,2026-03-07 07:54:18,false,"Vitacura - ICCUS 18K","21.32","1,554","01:53:11","154","167","4.9","157","229","5:19","4:45","142","174","1.20","10.2","12.4","270","50.8 % izquierda / 49.2 % derecha","0.0","17,580","--","--","19.0","No","00:00:00.7","23","25.0","01:52:55","01:54:29","625","738"
Carrera,2026-03-06 09:19:04,false,"Vitacura - ICCUS 35min RG","5.95","451","00:35:09","143","155","3.0","154","158","5:54","5:19","42","32","1.09","11.7","13.0","280","50.3 % izquierda / 49.7 % derecha","0.0","5,364","--","--","24.0","No","00:00:09.2","7","29.0","00:35:02","00:36:04","691","735"
Carrera,2026-03-05 09:16:08,false,"Vitacura - ICCUS 2k+6k","8.01","604","00:45:12","148","164","3.4","156","163","5:39","5:05","42","28","1.14","10.9","12.7","272","50.5 % izquierda / 49.5 % derecha","0.0","6,956","--","--","25.0","No","00:00:01.0","10","29.0","00:44:13","00:49:40","661","692"
Carrera,2026-03-03 20:43:16,false,"Vitacura Carrera","0.56","46","00:03:35.6","146","157","1.1","152","164","6:25","5:28","19","--","0.99","11.3","11.4","280","49.7 % izquierda / 50.3 % derecha","0.0","562","--","--","29.0","No","00:03:35.6","1","30.0","00:03:19","00:03:35.6","664","672"
Carrera,2026-03-03 19:43:38,false,"Vitacura - ICCUS 1x2600 + 4x1000","7.89","600","00:41:02","161","176","3.9","156","166","5:12","4:26","56","80","1.23","9.9","12.3","277","50.5 % izquierda / 49.5 % derecha","0.0","6,290","--","--","27.0","No","00:00:01.1","13","29.0","00:40:58","00:41:21","640","682"
Carrera,2026-03-03 19:32:24,false,"Vitacura Carrera","0.36","27","00:02:09.8","137","145","0.6","156","158","6:01","5:48","2","1","1.04","11.6","12.3","279","49.7 % izquierda / 50.3 % derecha","0.0","334","--","--","30.0","No","00:02:09.8","1","30.0","00:02:09.8","00:02:09.8","683","686"
Carrera,2026-03-03 19:20:32,false,"Vitacura Carrera","1.04","77","00:06:02.2","139","147","1.5","155","160","5:48","5:44","2","--","1.07","10.9","12.0","280","50.0 % izquierda / 50.0 % derecha","0.0","930","--","--","28.0","No","00:00:15.3","2","29.0","00:02:54","00:06:02.2","669","675"
Carrera,2026-03-03 18:51:32,false,"Vitacura Carrera","2.05","148","00:11:25","140","153","2.2","157","164","5:35","5:05","2","15","1.12","10.7","12.1","277","49.4 % izquierda / 50.6 % derecha","0.0","1,762","--","--","30.0","No","00:00:13.6","3","32.0","00:11:21","00:12:18","676","691"
Carrera,2026-03-01 08:42:15,false,"Vitacura - ICCUS 15K R1 R2","16.35","1,195","01:26:45","151","163","4.4","157","179","5:18","4:44","72","67","1.20","10.5","12.8","270","50.6 % izquierda / 49.4 % derecha","0.0","13,456","--","--","24.0","No","00:03:06.7","17","30.0","01:26:07","01:29:27","638","696"
Carrera,2026-02-28 09:04:34,false,"Vitacura Carrera","6.28","471","00:36:30","143","167","3.0","156","170","5:49","3:54","33","28","1.09","11.4","12.5","274","49.9 % izquierda / 50.1 % derecha","0.0","5,578","--","--","24.0","No","00:00:40.9","13","28.0","00:36:12","00:54:14","658","690"
Carrera,2026-02-26 19:09:05,false,"Vitacura - ICCUS 45min R1 R2","9.06","694","00:51:58","149","162","3.5","154","163","5:44","5:23","34","29","1.13","11.3","12.9","279","50.4 % izquierda / 49.6 % derecha","0.0","7,888","--","--","28.0","No","00:01:17.7","11","32.0","00:51:27","00:54:09","662","692"
Carrera,2026-02-25 18:31:48,false,"Vitacura Carrera","2.05","166","00:12:24","151","165","2.3","153","159","6:03","5:37","35","--","1.08","--","--","--","--","0.0","1,902","--","--","29.0","No","00:00:16.8","3","30.0","00:12:14","00:12:24","670","694"
Carrera,2026-02-25 16:49:51,false,"Vitacura Carrera","1.72","128","00:09:26.5","151","161","2.1","154","159","5:30","5:09","1","36","1.18","--","--","--","--","0.0","1,458","--","--","32.0","No","00:03:58.1","2","33.0","00:09:21","00:09:26.5","658","675"
Carrera,2026-02-24 19:52:02,false,"Vitacura - ICCUS 1X3000 & 4X1000","7.93","608","00:41:32","162","176","3.9","157","168","5:14","4:25","56","58","1.21","9.7","11.9","269","50.9 % izquierda / 49.1 % derecha","0.0","6,422","--","--","28.0","No","00:00:00.8","12","29.0","00:41:21","00:41:32","643","686"
Carrera,2026-02-24 19:17:43,false,"Vitacura Carrera","1.01","75","00:05:54.4","139","152","1.5","156","161","5:51","5:24","2","--","1.09","10.8","11.9","279","50.0 % izquierda / 50.0 % derecha","0.0","914","--","--","30.0","No","00:00:03.7","2","31.0","00:05:45","00:06:22.8","670","673"
Carrera,2026-02-24 18:54:35,false,"Vitacura Carrera","2.17","159","00:12:07","142","153","2.2","157","163","5:35","5:05","2","17","1.14","10.8","12.4","272","50.0 % izquierda / 50.0 % derecha","0.0","1,870","--","--","31.0","No","00:01:01.1","3","33.0","00:12:04","00:12:14","675","692"
Carrera,2026-02-23 19:45:41,false,"Vitacura - ICCUS 40 min RG","8.39","654","00:50:06","149","160","3.3","153","197","5:58","5:29","57","59","1.09","11.5","12.7","277","50.2 % izquierda / 49.8 % derecha","0.0","7,576","--","--","28.0","No","00:00:05.7","10","32.0","00:50:05","00:50:09","697","756"
Carrera,2026-02-21 08:02:11,false,"Vitacura - ICCUS 14K R1 R2","16.19","1,198","01:28:21","154","168","4.3","156","169","5:27","5:02","121","136","1.17","10.5","12.5","273","50.0 % izquierda / 50.0 % derecha","0.0","13,576","--","--","20.0","No","00:00:01.0","18","26.0","01:27:47","01:32:24","634","753"
Carrera,2026-02-19 08:41:23,false,"Canela - ICCUS 40min R1 R2","8.92","712","00:53:31","151","171","3.6","152","165","6:00","5:15","150","119","1.10","11.7","13.0","286","49.9 % izquierda / 50.1 % derecha","0.0","8,038","--","--","22.0","No","00:01:51.4","11","28.0","00:53:25","00:54:30","29","119"
Entreno de fuerza,2026-02-18 18:01:28,false,"Fuerza","0.00","384","00:53:10","113","145","1.9","--","--","--","--","--","--","--","--","--","--","--","0.0","250","125","12","29.0","No","00:53:10","1","32.0","00:41:21","00:53:10","--","--"
Carrera,2026-02-17 08:39:13,false,"Canela - ICCUS 1X3000 & 2X1000","7.72","572","00:43:31","146","173","3.5","151","164","5:38","4:16","176","138","1.16","10.9","12.7","278","50.2 % izquierda / 49.8 % derecha","0.0","6,530","--","--","22.0","No","00:01:30","10","27.0","00:43:17","00:45:05","'-0","74"
Caminar,2026-02-16 17:53:03,false,"Canela Caminar","1.18","63","00:14:01","84","94","0.1","105","205","11:56","7:05","--","72","0.80","--","--","--","--","0.0","1,620","--","--","28.0","No","00:14:01","1","32.0","00:13:57","00:14:01","'-43","28"
Carrera,2026-02-15 08:00:56,false,"Viña del Mar - Reforest Runnin 26","10.00","709","00:47:07","162","171","4.4","159","169","4:43","4:25","40","37","1.34","9.4","12.9","255","50.1 % izquierda / 49.9 % derecha","0.0","7,400","--","--","18.0","No","00:00:01.7","11","22.0","00:47:03","00:47:07","8","26"
Carrera,2026-02-15 07:35:06,false,"Viña del Mar Carrera","2.60","196","00:15:16","137","145","2.3","152","167","5:52","5:17","44","2","1.13","11.1","12.8","273","49.9 % izquierda / 50.1 % derecha","0.0","2,292","--","--","19.0","No","00:03:54.8","3","28.0","00:14:59","00:15:16","11","25"
Carrera,2026-02-14 09:37:42,false,"Viña del Mar - ICCUS 25min RG","4.42","321","00:25:15","139","152","2.7","155","169","5:43","5:11","24","61","1.13","11.2","12.8","272","49.8 % izquierda / 50.2 % derecha","0.0","3,870","--","--","21.0","No","00:00:14.7","6","25.0","00:24:52","00:26:55","6","20"
Carrera,2026-02-13 08:09:55,false,"Viña del Mar - ICCUS 8,5k","11.32","835","01:02:59","147","160","3.8","154","161","5:34","5:17","38","75","1.17","10.9","13.0","274","50.0 % izquierda / 50.0 % derecha","0.0","9,750","--","--","19.0","No","00:01:36.8","13","27.0","01:02:55","01:03:07","'-3","46"
Entreno de fuerza,2026-02-12 18:08:50,false,"Fuerza","0.00","382","00:50:19","114","147","2.1","--","--","--","--","--","--","--","--","--","--","--","0.0","326","163","10","29.0","No","00:50:19","1","33.0","00:35:24","00:50:19","--","--"
Carrera,2026-02-11 09:30:46,false,"Viña del Mar - ICCUS 2X3000","9.62","735","00:53:28","156","172","4.0","154","161","5:33","4:43","48","48","1.17","10.7","12.8","277","50.0 % izquierda / 50.0 % derecha","0.0","8,116","--","--","24.0","No","00:02:00","12","31.0","00:53:12","00:53:35","'-7","16"
Entreno de fuerza,2026-02-10 18:36:58,false,"Fuerza","0.00","357","00:43:55","118","138","1.8","--","--","--","--","--","--","--","--","--","--","--","0.0","418","209","12","29.0","No","00:43:55","1","31.0","00:32:45","00:45:21","--","--"
Carrera,2026-02-08 08:01:20,false,"Viña del Mar - ICCUS 14K R1 R2","16.71","1,210","01:29:02","151","164","4.4","157","177","5:20","4:58","64","98","1.20","10.4","12.6","267","50.4 % izquierda / 49.6 % derecha","0.0","13,846","--","--","19.0","No","00:00:03.4","18","28.0","01:28:32","01:31:29","43","88"
Carrera,2026-02-06 18:19:36,false,"Vitacura - ICCUS 25min RG","4.33","328","00:25:06","146","159","2.9","152","159","5:47","5:26","32","27","1.12","11.5","13.2","277","50.1 % izquierda / 49.9 % derecha","0.0","3,804","--","--","32.0","No","00:00:05.9","6","35.0","00:24:56","00:25:06","671","696"
Carrera,2026-02-05 19:19:19,false,"Vitacura - ICCUS 45min R1 R2","9.21","705","00:49:04","162","174","4.2","155","162","5:20","4:46","75","55","1.21","10.5","12.9","279","50.8 % izquierda / 49.2 % derecha","0.0","7,512","--","--","28.0","No","00:00:19.8","11","31.0","00:48:51","00:49:35","666","737"
Carrera,2026-02-05 18:47:19,false,"Vitacura Carrera","2.11","152","00:11:38","141","154","2.3","159","180","5:31","5:12","1","16","1.14","10.8","12.5","262","50.0 % izquierda / 50.0 % derecha","0.0","1,820","--","--","30.0","No","00:00:35.8","3","32.0","00:11:37","00:12:04","676","692"
Entreno de fuerza,2026-02-04 20:12:29,false,"Fuerza","0.00","392","00:38:11","129","159","2.4","--","--","--","--","--","--","--","--","--","--","--","0.0","6","3","1","27.0","No","00:38:11","1","28.0","00:38:11","00:38:11","--","--"
Carrera,2026-02-04 19:44:48,false,"Vitacura Carrera","2.12","155","00:11:36","143","158","2.3","153","160","5:28","5:09","2","10","1.19","--","--","--","--","0.0","1,790","--","--","27.0","No","00:00:38.4","3","31.0","00:11:25","00:12:11","677","692"
Carrera,2026-02-03 19:16:37,false,"Vitacura - ICCUS 3X2000","8.47","643","00:45:57","158","178","4.1","155","177","5:25","4:31","55","48","1.19","9.9","11.8","274","50.2 % izquierda / 49.8 % derecha","0.0","7,008","--","--","24.0","No","00:02:00","11","28.0","00:44:55","01:12:58","656","703"
Carrera,2026-02-03 18:50:13,false,"Vitacura Carrera","2.14","151","00:11:37","141","153","2.3","156","162","5:26","5:04","1","16","1.18","10.5","12.8","266","49.3 % izquierda / 50.8 % derecha","0.0","1,796","--","--","29.0","No","00:00:47.6","3","31.0","00:11:29","00:12:33","672","692"
Entreno de fuerza,2026-02-02 09:54:01,false,"Fuerza","0.00","418","00:46:53","122","153","2.3","--","--","--","--","--","--","--","--","--","--","--","0.0","318","159","11","26.0","No","00:46:53","1","30.0","00:35:44","00:46:53","--","--"
Carrera,2026-01-31 08:05:07,false,"Ñuñoa - ICCUS 12K R1R2","14.51","1,086","01:19:42","155","165","4.5","155","163","5:30","4:54","101","41","1.17","10.7","12.7","272","50.1 % izquierda / 49.9 % derecha","0.0","12,218","--","--","22.0","No","00:04:02.3","15","30.0","01:18:48","01:21:43","634","702"
Carrera,2026-01-29 19:19:17,false,"Vitacura - ICCUS 45min R1 R2","10.49","812","00:58:33","159","176","4.4","157","192","5:35","4:52","84","74","1.14","10.5","12.2","275","50.3 % izquierda / 49.7 % derecha","0.0","9,082","--","--","28.0","No","00:01:45.4","13","31.0","00:58:19","01:07:04","647","671"
Carrera,2026-01-29 18:50:54,false,"Vitacura Carrera","2.13","151","00:11:39","143","158","2.3","154","162","5:28","5:12","1","61","1.13","11.1","12.6","268","49.7 % izquierda / 50.3 % derecha","0.0","1,804","--","--","30.0","No","00:00:50.0","3","32.0","00:11:25","00:12:22","673","692"
Entreno de fuerza,2026-01-28 15:58:02,false,"Fuerza","0.00","491","01:04:25","114","152","2.3","--","--","--","--","--","--","--","--","--","--","--","0.0","10","5","1","29.0","No","01:04:25","1","33.0","01:04:25","01:04:25","--","--"
Carrera,2026-01-27 20:36:40,false,"Vitacura Carrera","0.63","54","00:04:21.4","146","160","1.1","153","164","6:55","5:34","7","--","0.97","11.8","11.7","282","50.0 % izquierda / 50.0 % derecha","0.0","666","--","--","27.0","No","00:04:21.4","1","28.0","00:04:07","00:04:47.0","614","622"
Carrera,2026-01-27 19:18:04,false,"Vitacura - ICCUS 3X2000","8.28","652","00:46:12","163","182","4.2","149","243","5:35","1:11","54","56","1.19","10.3","12.3","279","50.4 % izquierda / 49.6 % derecha","0.0","6,764","--","--","27.0","No","00:02:00","11","30.0","00:44:09","01:07:45","653","701"
Carrera,2026-01-27 18:47:30,false,"Vitacura Carrera","2.04","151","00:11:36","144","156","2.3","153","217","5:41","5:10","1","19","1.15","11.5","13.5","272","49.6 % izquierda / 50.4 % derecha","0.0","1,760","--","--","30.0","No","00:00:15.2","3","32.0","00:11:35","00:11:36","674","692"
Entreno de fuerza,2026-01-25 11:18:21,false,"Fuerza","0.00","425","00:55:29","117","153","2.1","--","--","--","--","--","--","--","--","--","--","--","0.0","404","202","13","27.0","No","00:55:29","1","31.0","00:36:27","00:55:29","--","--"
Carrera,2026-01-24 10:31:48,false,"Vitacura - ICCUS 10,5K R1 R2","12.24","939","01:09:30","156","169","4.2","153","177","5:41","5:11","87","84","1.15","11.4","13.3","280","49.8 % izquierda / 50.2 % derecha","0.0","10,476","--","--","27.0","No","00:00:03.2","14","32.0","01:09:14","01:15:15","657","706"
Carrera,2026-01-22 19:16:32,false,"Vitacura - ICCUS 40min R1 R2","7.99","626","00:44:54","160","179","4.0","151","199","5:37","5:07","55","43","1.18","11.5","13.7","278","49.9 % izquierda / 50.1 % derecha","0.0","6,716","--","--","27.0","No","00:00:01.6","11","31.0","00:43:59","00:54:31","650","675"
Carrera,2026-01-22 18:55:26,false,"Vitacura Carrera","2.08","148","00:11:28","142","153","2.3","150","155","5:31","4:35","57","14","1.20","11.3","14.0","274","49.5 % izquierda / 50.5 % derecha","0.0","1,706","--","--","30.0","No","00:00:27.1","3","32.0","00:11:19","00:12:01","676","692"
Carrera,2026-01-20 19:16:45,false,"Vitacura - ICCUS 4X1500","8.00","623","00:45:45","156","177","3.9","147","214","5:43","4:27","62","51","1.16","10.1","12.1","286","50.2 % izquierda / 49.8 % derecha","0.0","6,620","--","--","27.0","No","00:00:53.2","14","32.0","00:43:58","01:16:40","670","697"
Carrera,2026-01-20 18:48:32,false,"Vitacura Carrera","1.96","150","00:11:48","141","152","2.3","150","157","6:01","5:15","2","13","1.15","11.8","13.8","277","49.1 % izquierda / 50.9 % derecha","0.0","1,762","--","--","30.0","No","00:05:25.8","2","34.0","00:11:42","00:11:51","631","644"
Entreno de fuerza,2026-01-18 20:50:22,false,"Fuerza","0.00","299","00:39:05","114","144","2.0","--","--","--","--","--","--","--","--","--","--","--","0.0","360","180","11","30.0","No","00:39:05","1","32.0","00:30:24","00:40:42","--","--"
Carrera,2026-01-17 10:09:14,false,"Machalí - ICCUS 50min Fácil","11.15","875","01:03:15","159","176","4.5","153","160","5:40","5:06","104","99","1.16","11.4","13.4","274","50.4 % izquierda / 49.6 % derecha","0.0","9,578","--","--","28.0","No","00:03:15.0","12","35.0","01:03:09","01:03:41","553","616"
Carrera,2026-01-15 19:20:14,false,"Vitacura - ICCUS 40min","7.22","550","00:40:08","156","169","3.7","156","169","5:34","4:43","40","24","1.13","11.0","12.8","269","50.5 % izquierda / 49.5 % derecha","0.0","6,192","--","--","28.0","No","00:00:00.9","10","31.0","00:39:04","00:43:47","640","675"
Carrera,2026-01-15 18:52:15,false,"Vitacura Carrera","2.10","151","00:11:39","141","157","2.4","151","159","5:32","4:54","46","17","1.21","10.9","13.3","273","50.0 % izquierda / 50.0 % derecha","0.0","1,764","--","--","30.0","No","00:00:31.9","3","32.0","00:11:22","00:12:34","671","692"
Carrera,2026-01-13 20:25:02,false,"Vitacura Carrera","0.62","52","00:04:00.3","154","164","1.1","149","161","6:27","5:56","6","--","1.03","12.1","12.7","274","50.3 % izquierda / 49.7 % derecha","0.0","614","--","--","29.0","No","00:04:00.3","1","30.0","00:03:51","00:04:00.3","615","621"
