Tipo de actividad,Fecha,Favorito,Título,Distancia,Calorías,Tiempo,Frecuencia cardiaca media,FC máxima,TE aeróbico,Cadencia de carrera media,Cadencia de carrera máxima,Ritmo medio,Ritmo óptimo,Ascenso total,Descenso total,Longitud media de zancada,Relación vertical media,Oscilación vertical media,Tiempo medio de contacto con el suelo,Equilibrio medio de tiempo de contacto con el suelo,Training Stress Score®,Pasos,Repeticiones totales,Series totales,Temperatura mínima,Descompresión,Mejor tiempo de vuelta,Número de vueltas,Temperatura máxima,Tiempo en movimiento,Tiempo transcurrido,Altura mínima,Altura máxima
Carrera,2026-07-30 20:10:40,false,"Las Condes Carrera","4.03","318","00:22:58","154","168","3.1","153","159","5:42","5:14","57","--","1.14","11.4","13.0","281","50.6 % izquierda / 49.4 % derecha","0.0","3,486","--","--","16.0","No","00:00:10.0","5","26.0","00:22:27","00:24:45","636","695"
Carrera,2026-07-30 18:30:36,false,"Vitacura Carrera","4.69","335","00:25:27","142","163","3.0","153","163","5:26","4:55","7","34","1.20","11.0","13.2","282","50.4 % izquierda / 49.6 % derecha","0.0","3,852","--","--","18.0","No","00:03:41.9","5","27.0","00:24:34","00:29:21","650","693"
Entreno de fuerza,2026-07-26 10:19:55,false,"Fuerza","0.00","396","00:41:19","123","158","2.4","--","--","--","--","--","--","--","--","--","--","--","0.0","134","67","3","23.0","No","00:41:19","1","25.0","00:36:44","00:42:37","--","--"
Carrera,2026-07-25 08:45:44,false,"Vitacura Carrera","16.36","1,269","01:27:08","165","177","5.0","155","171","5:20","4:42","93","102","1.20","9.6","11.8","269","50.5 % izquierda / 49.5 % derecha","0.0","13,404","--","--","18.0","No","00:00:03.2","21","22.0","01:26:57","01:27:08","675","702"
Carrera,2026-07-25 08:25:36,false,"Vitacura Carrera","1.96","151","00:11:36","143","161","2.3","156","167","5:54","5:38","76","7","1.07","11.0","12.0","273","50.1 % izquierda / 49.9 % derecha","0.0","1,816","--","--","18.0","No","00:05:43.5","2","25.0","00:11:20","00:11:36","689","701"
Carrera,2026-07-18 09:23:48,false,"Vitacura Carrera","16.77","1,316","01:30:19","164","177","5.0","157","168","5:23","4:49","97","92","1.18","10.3","12.4","272","50.5 % izquierda / 49.5 % derecha","0.0","14,080","--","--","17.0","No","00:04:24.7","17","27.0","01:30:01","01:30:47","660","708"
Carrera,2026-07-16 08:57:14,false,"Vitacura Carrera","9.01","696","00:51:19","152","166","3.7","156","163","5:42","5:16","40","44","1.12","11.0","12.4","275","50.7 % izquierda / 49.3 % derecha","0.0","7,930","--","--","18.0","No","00:00:02.2","10","25.0","00:50:30","00:53:22","658","692"
Carrera,2026-07-14 20:26:30,false,"Vitacura Carrera","1.80","145","00:10:49","151","160","2.2","155","165","6:01","4:58","17","1","1.06","11.0","11.9","277","50.5 % izquierda / 49.5 % derecha","0.0","1,684","--","--","21.0","No","00:04:36.6","2","22.0","00:10:46","00:10:49","638","657"
Carrera,2026-07-14 19:48:56,false,"Vitacura Carrera","5.75","446","00:32:26","157","181","3.8","139","182","5:38","4:00","31","20","1.24","8.8","11.1","279","50.3 % izquierda / 49.7 % derecha","0.0","4,420","--","--","16.0","No","00:00:02.6","15","23.0","00:30:25","00:32:26","636","654"
Carrera,2026-07-14 19:23:59,false,"Vitacura Carrera","1.79","124","00:10:59","122","133","1.7","156","164","6:08","5:24","7","12","1.04","11.4","12.0","281","50.0 % izquierda / 50.0 % derecha","0.0","1,704","--","--","24.0","No","00:04:42.0","2","26.0","00:10:40","00:10:59","658","671"
